id: 0,carat,cut,color,clarity,depth,table,price,x,y,z
36084,0.33,Ideal,G,IF,61.9,56.0,925,4.43,4.47,2.75
20869,1.41,Good,H,VS2,63.8,60.0,9088,7.04,7.12,4.52
3752,0.78,Ideal,D,SI2,61.4,57.0,3454,5.91,5.94,3.64
16972,1.01,Very Good,G,VS1,58.8,58.0,6777,6.52,6.61,3.86
9527,0.9,Very Good,H,VVS2,61.8,60.0,4617,6.11,6.15,3.79
14937,1.23,Ideal,J,VS2,61.2,57.0,6015,6.93,6.88,4.23
6917,0.9,Premium,G,VS2,62.0,60.0,4137,6.19,6.14,3.82
28650,0.31,Very Good,I,VS2,62.3,57.0,435,4.32,4.35,2.7
5877,0.91,Good,F,SI1,63.7,58.0,3924,6.09,6.02,3.86
46505,0.56,Ideal,F,VS2,60.8,56.0,1778,5.33,5.3,3.23
52125,0.91,Premium,E,I1,59.6,59.0,2464,6.29,6.32,3.76
31328,0.3,Very Good,E,VVS2,62.4,57.0,759,4.28,4.31,2.68
26154,2.18,Premium,J,VS2,60.1,58.0,15465,8.46,8.41,5.07
1415,1.06,Premium,I,SI2,61.5,57.0,2968,6.57,6.49,4.02
34533,0.3,Ideal,F,VVS1,62.1,55.0,868,4.31,4.32,2.68
43947,0.32,Ideal,E,SI1,62.2,54.0,516,4.38,4.4,2.73
709,0.68,Premium,F,VVS2,61.7,57.0,2854,5.67,5.64,3.49
46869,0.53,Ideal,G,VS1,62.7,55.0,1813,5.18,5.16,3.24
45182,0.51,Ideal,G,VS1,62.7,56.0,1656,5.08,5.1,3.19
2594,0.64,Ideal,F,VVS2,60.9,56.0,3217,5.57,5.59,3.4
8179,1.05,Ideal,J,SI2,61.3,56.0,4364,6.56,6.59,4.03
44327,0.33,Very Good,H,VS2,62.8,59.0,521,4.38,4.44,2.77
9354,1.07,Premium,G,SI2,62.1,59.0,4584,6.54,6.48,4.04
25127,2.02,Premium,E,SI2,59.9,58.0,13677,8.18,8.14,4.89
42132,0.53,Ideal,F,SI2,63.0,54.0,1279,5.24,5.19,3.29
38423,0.39,Premium,E,VS1,59.6,60.0,1026,4.72,4.75,2.82
25561,2.1,Premium,I,VS2,60.7,61.0,14394,8.28,8.27,5.02
53409,0.7,Premium,F,VS1,61.7,60.0,2669,5.67,5.64,3.49
22906,1.51,Very Good,G,SI1,61.5,54.0,10947,7.35,7.42,4.54
22530,1.51,Premium,E,SI2,60.6,59.0,10570,7.47,7.41,4.51
34239,0.4,Premium,D,SI2,61.9,58.0,855,4.73,4.71,2.92
30706,0.3,Ideal,G,VVS1,61.4,56.0,737,4.32,4.34,2.66
46351,0.5,Ideal,E,VS1,61.9,54.1,1759,5.09,5.15,3.17
38913,0.33,Good,G,IF,57.9,60.0,1052,4.57,4.55,2.64
5573,1.14,Premium,J,SI2,60.4,59.0,3861,6.8,6.74,4.09
39483,0.41,Ideal,E,VS1,62.7,57.0,1079,4.72,4.76,2.97
27364,0.28,Premium,E,VVS2,60.1,59.0,646,4.22,4.26,2.55
51897,0.78,Ideal,F,SI2,59.7,57.0,2431,6.01,5.98,3.58
23823,1.7,Premium,I,VS2,62.2,58.0,11888,7.65,7.6,4.74
52802,0.6,Ideal,G,IF,62.0,55.0,2570,5.39,5.44,3.36
17156,1.09,Ideal,E,SI1,61.8,55.0,6849,6.65,6.58,4.09
53441,0.81,Ideal,E,SI2,61.4,57.0,2673,6.0,5.97,3.68
44535,0.5,Very Good,G,VS1,61.9,59.0,1603,5.06,5.08,3.14
2009,0.9,Ideal,J,SI1,62.6,54.0,3102,6.16,6.23,3.88
13059,1.01,Very Good,E,SI1,62.8,57.0,5411,6.35,6.39,4.0
47660,0.23,Very Good,E,VVS1,61.1,60.0,530,3.95,4.01,2.43
36716,0.41,Premium,E,SI2,61.7,58.0,953,4.8,4.76,2.95
39881,0.42,Ideal,G,VVS2,62.4,55.0,1103,4.82,4.79,3.0
8511,1.03,Fair,G,SI1,64.7,63.0,4424,6.36,6.31,4.1
45843,0.5,Good,G,VVS2,63.8,56.0,1715,5.03,5.06,3.22
30189,0.35,Ideal,E,VS2,63.5,54.0,722,4.48,4.43,2.83
7181,1.01,Very Good,G,SI1,63.3,57.0,4185,6.37,6.35,4.02
49280,0.54,Good,F,VS1,63.7,55.0,2090,5.16,5.11,3.27
12681,1.09,Ideal,F,SI2,62.0,56.0,5306,6.62,6.58,4.09
33613,0.31,Good,D,SI2,63.9,57.0,462,4.28,4.33,2.75
26449,1.55,Premium,D,VS2,61.5,58.0,15991,7.48,7.51,4.61
2730,0.31,Ideal,D,SI1,61.7,55.0,565,4.37,4.41,2.71
36257,0.41,Ideal,E,VS2,62.1,56.0,935,4.74,4.76,2.95
35987,0.42,Very Good,H,VVS2,62.9,56.0,921,4.75,4.79,3.0
29307,0.25,Ideal,G,VS1,62.3,54.0,438,4.05,4.11,2.54
9988,1.12,Premium,I,SI1,60.8,57.0,4704,6.76,6.7,4.09
30240,0.33,Ideal,E,VS2,62.3,57.0,723,4.37,4.43,2.74
50378,0.44,Good,D,VVS1,59.2,57.0,2250,4.96,5.0,2.95
51116,0.7,Very Good,G,VS2,63.4,58.0,2338,5.63,5.57,3.55
10440,1.0,Good,D,SI1,65.1,54.0,4786,6.23,6.27,4.07
12669,1.01,Premium,H,VS2,61.5,59.0,5303,6.48,6.49,3.99
17842,1.7,Ideal,H,I1,62.6,54.0,7197,7.63,7.58,4.77
3800,1.0,Good,I,SI2,63.9,60.0,3465,6.26,6.3,4.01
4919,0.7,Ideal,G,VVS2,61.6,57.0,3725,5.74,5.71,3.53
52397,0.58,Ideal,F,VVS2,62.2,56.0,2509,5.32,5.35,3.32
13207,1.11,Ideal,H,SI1,61.6,56.0,5456,6.69,6.65,4.11
26518,1.74,Very Good,G,VS2,62.9,57.0,16169,7.64,7.68,4.82
21505,1.02,Ideal,F,VVS2,62.3,58.0,9598,6.42,6.45,4.01
21230,1.6,Ideal,I,SI1,62.0,55.0,9376,7.53,7.59,4.69
13374,0.24,Ideal,F,VS2,62.2,57.0,419,3.96,4.01,2.48
34501,0.42,Good,I,VVS1,59.2,61.0,867,4.88,4.91,2.9
28577,0.3,Ideal,H,VS1,62.5,56.0,675,4.27,4.24,2.66
38517,0.37,Ideal,G,IF,62.4,56.0,1033,4.6,4.64,2.88
29435,0.42,Good,H,SI1,63.2,58.0,700,4.77,4.79,3.02
8369,1.0,Good,E,SI2,63.5,54.0,4400,6.35,6.41,4.05
37592,0.24,Very Good,E,VVS2,62.5,58.0,485,3.96,4.01,2.49
8881,1.02,Ideal,J,VS2,62.0,56.0,4485,6.42,6.45,3.99
38732,0.4,Ideal,G,VVS1,62.4,54.0,1043,4.73,4.75,2.96
13400,0.32,Very Good,F,VS2,63.0,57.0,602,4.33,4.37,2.74
39084,0.31,Ideal,E,IF,61.9,56.0,1060,4.35,4.37,2.7
42611,0.32,Ideal,H,VS2,62.1,56.0,505,4.37,4.42,2.73
41819,0.43,Ideal,F,VVS2,61.9,56.0,1250,4.87,4.82,3.0
6995,1.06,Premium,F,SI1,61.9,59.0,4155,6.57,6.52,4.05
43623,0.57,Very Good,G,SI1,61.1,57.0,1433,5.32,5.35,3.26
48091,1.0,Premium,H,I1,60.4,61.0,1932,6.39,6.32,3.84
18886,1.0,Premium,E,VS1,60.4,59.0,7744,6.51,6.54,3.94
51709,0.8,Fair,G,SI2,67.1,56.0,2400,5.76,5.73,3.85
32691,0.31,Very Good,G,VS1,63.1,59.0,802,4.29,4.27,2.7
18274,2.03,Premium,H,I1,59.4,59.0,7421,8.31,8.22,4.91
9315,1.11,Ideal,H,SI2,62.7,57.0,4578,6.59,6.66,4.14
45634,0.25,Very Good,G,VVS1,61.7,56.0,525,4.07,4.09,2.51
13115,1.02,Premium,E,SI1,62.8,58.0,5429,6.45,6.39,4.03
23826,1.54,Premium,F,SI1,60.9,59.0,11897,7.56,7.46,4.57
32105,0.33,Ideal,D,VS2,62.1,55.0,781,4.43,4.46,2.76
42226,0.39,Premium,F,VVS1,62.7,57.0,1290,4.68,4.64,2.92
15976,1.27,Ideal,I,VS1,62.8,57.0,6396,6.86,6.89,4.32
47933,0.56,Premium,E,VS2,61.4,61.0,1915,5.31,5.28,3.25
26196,2.01,Ideal,H,SI2,60.1,57.0,15562,8.24,8.2,4.94
38922,0.33,Ideal,G,IF,61.9,54.0,1052,4.46,4.42,2.75
53727,0.72,Premium,D,VS2,61.0,59.0,2721,5.77,5.74,3.51
30215,0.33,Ideal,E,VS2,62.3,56.0,723,4.46,4.47,2.78
1222,0.81,Ideal,I,VS2,61.8,56.0,2939,6.02,5.99,3.71
50747,0.81,Fair,I,VS1,66.5,53.0,2297,5.76,5.83,3.86
24794,1.31,Ideal,G,VVS2,60.3,56.0,13168,7.09,7.15,4.29
24281,1.58,Premium,F,SI1,61.4,61.0,12512,7.48,7.45,4.58
16108,1.23,Ideal,H,SI1,61.0,56.0,6439,6.96,6.92,4.23
22350,2.01,Premium,J,VS2,58.6,61.0,10401,8.18,8.14,4.78
40804,0.41,Good,E,VVS1,60.4,61.0,1169,4.76,4.81,2.89
49528,0.52,Ideal,F,VS1,61.3,56.0,2123,5.19,5.22,3.19
45402,0.55,Ideal,H,VVS2,60.7,55.0,1668,5.32,5.34,3.24
13132,1.05,Premium,E,SI1,61.2,58.0,5433,6.57,6.53,4.01
49218,1.06,Very Good,G,I1,60.7,63.0,2080,6.59,6.56,3.99
8781,1.0,Premium,H,SI1,62.7,60.0,4469,6.3,6.24,3.93
7480,1.0,Ideal,I,SI1,62.8,56.0,4237,6.33,6.38,3.99
28991,0.34,Premium,F,VS2,59.2,60.0,686,4.56,4.6,2.71
19635,1.54,Ideal,I,SI2,62.0,59.0,8254,7.33,7.38,4.56
23003,1.47,Very Good,G,VS2,62.7,56.0,11060,7.15,7.18,4.49
45423,0.55,Ideal,E,SI1,61.4,55.0,1668,5.29,5.26,3.24
17824,1.08,Ideal,G,VS2,62.3,54.0,7187,6.59,6.61,4.11
18623,1.09,Very Good,F,VS1,62.9,58.0,7598,6.51,6.55,4.11
35109,0.3,Ideal,F,IF,62.1,57.0,886,4.27,4.3,2.66
2361,0.9,Ideal,J,VS1,62.5,55.0,3175,6.18,6.14,3.85
33260,0.37,Good,D,VS1,62.1,54.0,825,4.67,4.73,2.92
27380,0.35,Very Good,H,SI1,63.2,57.0,647,4.51,4.48,2.84
1282,0.81,Ideal,H,SI1,62.3,58.0,2951,5.95,5.96,3.71
15704,0.24,Very Good,F,VVS2,61.8,56.0,608,4.01,4.04,2.48
36199,0.42,Ideal,F,SI1,61.5,55.0,931,4.82,4.84,2.97
35580,0.35,Ideal,F,VS2,62.4,57.0,906,4.51,4.5,2.81
49986,0.74,Good,F,SI2,59.3,61.0,2190,5.87,5.97,3.51
28896,0.3,Very Good,G,VVS2,61.3,58.0,684,4.28,4.34,2.64
49472,0.64,Very Good,E,VS2,63.4,54.0,2114,5.52,5.49,3.49
1247,0.85,Good,G,SI1,64.9,56.0,2945,5.95,5.98,3.87
39823,0.3,Premium,E,IF,60.1,60.0,1097,4.32,4.3,2.59
36629,0.29,Very Good,H,VVS1,62.0,55.0,478,4.24,4.27,2.64
39484,0.41,Ideal,E,VS1,61.7,57.0,1079,4.76,4.8,2.95
15732,1.51,Fair,H,SI2,64.5,59.0,6291,7.21,7.15,4.63
41820,0.6,Ideal,G,SI2,59.1,56.0,1250,5.58,5.52,3.28
15036,0.3,Ideal,F,VS2,61.9,55.0,605,4.31,4.32,2.67
22262,1.09,Ideal,E,VVS2,61.6,56.0,10314,6.6,6.64,4.08
25783,2.01,Premium,I,SI1,60.1,59.0,14752,8.21,8.15,4.92
16672,1.26,Premium,H,SI1,62.2,58.0,6664,6.93,6.87,4.29
31167,0.41,Good,E,SI1,63.9,58.0,755,4.7,4.72,3.01
12950,0.9,Very Good,E,SI1,61.4,56.0,5387,6.19,6.23,3.81
20629,1.0,Premium,F,VVS2,60.6,54.0,8924,6.56,6.52,3.96
10811,1.0,Very Good,E,SI1,62.1,57.0,4864,6.35,6.4,3.96
31744,0.4,Ideal,D,SI1,62.1,56.0,772,4.7,4.74,2.93
11646,1.14,Very Good,H,VS2,59.9,57.0,5053,6.78,6.81,4.07
38462,0.38,Very Good,F,VVS1,63.8,58.0,1030,4.58,4.61,2.93
52432,0.7,Very Good,H,VS2,63.0,55.4,2513,5.67,5.7,3.58
36214,0.36,Premium,G,VS1,61.2,60.0,932,4.59,4.56,2.8
1976,0.8,Premium,E,SI1,62.9,60.0,3091,5.89,5.87,3.7
46583,0.55,Premium,E,VS2,60.5,58.0,1786,5.26,5.32,3.2
4741,0.92,Premium,E,SI2,61.8,59.0,3679,6.19,6.11,3.8
29065,0.4,Good,E,SI1,63.3,56.0,687,4.68,4.74,2.98
5206,1.04,Premium,G,SI1,60.3,58.0,3780,6.6,6.55,3.96
37453,0.35,Ideal,E,VS2,62.2,56.0,984,4.53,4.51,2.81
26613,2.11,Very Good,I,VS2,60.3,60.5,16363,8.22,8.29,4.98
22978,1.5,Very Good,H,VS2,60.7,61.0,11025,7.34,7.41,4.48
4880,0.9,Very Good,E,SI2,62.2,54.0,3715,6.13,6.21,3.84
41027,0.41,Ideal,E,VVS2,61.5,55.0,1187,4.79,4.83,2.96
39364,0.5,Premium,E,SI1,62.2,58.0,1073,5.03,4.87,3.1
44621,0.57,Very Good,G,VS2,62.6,55.0,1608,5.26,5.31,3.31
10454,1.0,Premium,H,SI1,62.1,56.0,4788,6.48,6.38,3.99
24785,2.75,Ideal,D,I1,60.9,57.0,13156,9.04,8.98,5.49
45436,0.58,Ideal,H,VS1,61.2,55.0,1671,5.39,5.42,3.31
12497,1.0,Very Good,E,SI1,59.6,60.0,5257,6.58,6.51,3.9
5056,0.31,Very Good,H,SI1,63.1,57.0,573,4.34,4.31,2.73
34853,0.3,Premium,G,VVS2,61.3,57.0,878,4.33,4.29,2.64
27997,0.3,Very Good,E,VS2,61.9,61.0,658,4.28,4.32,2.66
40729,0.51,Ideal,H,SI1,62.1,54.0,1161,5.13,5.15,3.19
12475,1.02,Ideal,H,SI1,60.8,58.0,5251,6.47,6.49,3.94
12692,0.26,Very Good,E,VVS2,61.7,60.0,599,4.11,4.12,2.54
1176,0.7,Ideal,E,SI1,60.1,57.0,2929,5.78,5.83,3.49
8146,0.96,Ideal,G,SI1,62.6,57.0,4355,6.28,6.24,3.92
28239,0.33,Ideal,G,VS1,61.4,54.0,666,4.44,4.48,2.74
2759,0.9,Good,G,SI1,64.2,58.0,3250,6.04,6.01,3.87
23358,0.3,Ideal,G,SI1,62.1,53.0,422,4.32,4.37,2.7
8248,1.04,Very Good,G,SI2,62.6,58.0,4375,6.42,6.49,4.04
46801,0.7,Premium,F,SI2,60.3,58.0,1806,5.79,5.76,3.48
36502,0.33,Very Good,E,VVS1,61.8,54.0,945,4.47,4.49,2.77
10318,1.03,Premium,D,SI2,61.3,61.0,4764,6.49,6.46,3.97
2808,0.72,Very Good,F,VS1,63.4,57.0,3264,5.68,5.7,3.61
20249,1.23,Ideal,F,VS1,61.3,57.0,8679,6.93,6.86,4.23
14607,1.21,Premium,J,VVS1,61.3,59.0,5893,6.81,6.86,4.19
22573,1.52,Fair,G,VS2,55.2,66.0,10623,7.72,7.67,4.26
35894,0.32,Ideal,G,IF,61.8,55.0,918,4.42,4.45,2.74
24027,1.54,Premium,H,IF,62.5,58.0,12196,7.33,7.38,4.6
40010,0.41,Ideal,F,VS2,62.7,56.0,1107,4.78,4.72,2.98
20268,1.74,Premium,J,SI2,59.7,57.0,8690,7.88,7.8,4.68
36787,0.34,Premium,E,VS2,58.8,59.0,956,4.59,4.56,2.69
2894,0.92,Fair,F,SI2,65.3,58.0,3282,6.08,6.04,3.96
41067,0.52,Ideal,F,SI2,62.1,55.0,1191,5.14,5.17,3.2
9168,0.98,Very Good,G,SI2,62.2,57.0,4542,6.33,6.37,3.95
14344,1.22,Ideal,I,SI1,60.2,57.0,5807,6.99,6.93,4.19
23743,2.0,Very Good,J,SI2,59.8,60.0,11792,8.09,8.13,4.85
39822,0.38,Ideal,E,VVS2,62.4,56.0,1097,4.69,4.63,2.91
46701,0.55,Premium,G,VS1,59.4,62.0,1792,5.36,5.32,3.17
27539,2.01,Premium,H,SI1,61.4,56.0,18295,8.19,8.13,5.01
40444,0.7,Premium,G,I1,61.6,56.0,1138,5.8,5.63,3.52
26996,2.01,Very Good,H,SI1,60.0,58.0,17095,8.16,8.25,4.92
50181,0.74,Very Good,H,SI2,62.1,58.0,2222,5.82,5.78,3.6
8900,0.79,Premium,E,VVS1,62.8,60.0,4490,5.89,5.8,3.67
20348,1.7,Ideal,I,SI2,60.7,59.0,8743,7.69,7.64,4.65
19019,2.11,Very Good,G,I1,63.2,57.0,7834,8.13,8.07,5.12
26301,1.72,Premium,G,VS2,61.1,58.0,15801,7.69,7.73,4.71
35034,0.4,Good,E,SI1,63.6,57.0,882,4.69,4.65,2.97
36570,0.42,Good,E,SI1,63.6,61.0,945,4.73,4.7,3.0
50522,0.7,Fair,G,VS2,57.3,63.0,2273,5.78,5.84,3.33
5247,1.0,Very Good,F,SI2,61.7,58.0,3789,6.32,6.36,3.91
8441,1.25,Premium,J,SI2,62.3,59.0,4410,6.86,6.82,4.26
39032,0.41,Ideal,I,VS2,61.2,56.0,1056,4.77,4.81,2.93
34346,0.39,Ideal,F,VS2,59.2,58.0,862,4.78,4.81,2.84
21394,1.51,Premium,H,SI1,62.0,58.0,9511,7.38,7.34,4.56
18028,1.02,Very Good,G,VVS2,61.3,59.0,7292,6.46,6.53,3.98
26147,2.0,Premium,H,SI2,59.7,61.0,15451,8.2,8.15,4.88
28847,0.41,Premium,D,SI2,62.4,60.0,683,4.71,4.77,2.96
14599,1.23,Good,H,SI1,63.9,56.0,5889,6.81,6.77,4.34
51089,0.7,Very Good,H,VS2,60.0,57.0,2335,5.74,5.8,3.46
7259,1.19,Premium,J,SI2,58.4,60.0,4198,6.98,6.92,4.06
6538,1.1,Ideal,E,SI2,59.4,54.0,4071,6.79,6.74,4.02
50031,0.72,Ideal,H,SI1,60.3,59.0,2197,5.77,5.83,3.5
51547,0.71,Ideal,I,VVS2,62.0,54.0,2387,5.72,5.76,3.56
28161,0.3,Ideal,H,VVS1,61.3,57.0,665,4.32,4.36,2.66
53815,0.77,Good,H,VVS2,64.3,57.9,2734,5.7,5.86,3.71
28042,0.38,Good,I,SI1,63.7,57.0,659,4.63,4.57,2.93
2464,0.7,Ideal,F,VVS2,62.0,55.0,3191,5.71,5.67,3.53
12957,1.0,Premium,H,VS1,61.5,57.0,5387,6.44,6.37,3.94
24865,1.52,Ideal,E,SI1,62.1,56.0,13280,7.35,7.38,4.57
32413,0.41,Ideal,D,SI1,61.7,54.0,791,4.78,4.79,2.95
18693,0.29,Ideal,E,VS2,60.1,56.0,619,4.3,4.34,2.6
38130,0.3,Premium,G,VVS1,62.1,56.0,1013,4.31,4.29,2.67
32378,0.3,Fair,G,VVS1,58.6,66.0,790,4.36,4.41,2.57
48905,0.5,Very Good,F,VVS2,61.9,59.0,2041,5.07,5.11,3.15
22553,1.52,Ideal,H,SI1,61.5,58.0,10589,7.4,7.36,4.54
23147,1.02,Premium,E,VVS1,61.5,59.0,11163,6.46,6.41,3.96
34188,0.33,Ideal,G,VS1,62.3,57.0,854,4.42,4.38,2.74
34084,0.36,Ideal,D,VS2,61.1,57.0,852,4.58,4.62,2.81
18501,1.5,Premium,G,SI1,62.3,60.0,7535,7.27,7.17,4.5
1656,0.73,Very Good,F,SI1,61.3,56.0,3023,5.78,5.84,3.56
9842,1.08,Ideal,G,SI2,61.9,58.0,4675,6.55,6.57,4.06
9070,1.13,Premium,G,SI2,60.0,61.0,4518,6.78,6.71,4.05
27712,0.36,Premium,I,VS2,62.7,59.0,648,4.58,4.54,2.86
50822,0.72,Good,E,SI2,57.9,56.0,2308,5.93,5.85,3.41
39947,0.24,Good,F,VVS1,64.8,57.0,492,3.9,3.94,2.54
5568,0.8,Ideal,F,VS1,61.2,56.0,3860,5.98,6.01,3.67
7965,1.09,Very Good,D,SI2,59.2,63.0,4322,6.71,6.67,3.96
34033,0.4,Very Good,D,VS2,59.3,58.0,850,4.8,4.85,2.86
11750,1.07,Ideal,F,SI2,62.0,56.0,5077,6.51,6.55,4.09
37468,0.42,Ideal,G,VS1,62.7,54.0,984,4.83,4.8,3.02
34727,0.41,Ideal,E,VS2,62.3,54.0,875,4.74,4.8,2.97
7723,0.26,Premium,E,VS2,62.1,56.0,580,4.13,4.11,2.56
23353,0.3,Ideal,I,SI1,61.9,57.0,422,4.29,4.31,2.66
25385,1.5,Premium,F,VS2,61.5,58.0,14071,7.34,7.36,4.52
52542,0.71,Premium,H,VS2,62.8,56.0,2531,5.75,5.68,3.59
9585,1.0,Very Good,D,SI2,63.2,57.0,4628,6.24,6.32,3.97
5188,0.9,Premium,G,SI1,62.7,58.0,3774,6.13,6.08,3.83
1373,0.85,Very Good,E,SI2,63.1,58.0,2966,6.02,6.0,3.79
18906,1.52,Premium,J,VS2,62.0,59.0,7758,7.28,7.31,4.52
13803,1.21,Ideal,H,SI2,62.6,56.0,5624,6.84,6.77,4.26
31688,0.26,Ideal,D,VVS2,61.4,56.0,769,4.15,4.12,2.54
27392,1.54,Ideal,F,VS1,60.5,56.0,17949,7.52,7.49,4.54
41844,0.35,Ideal,E,IF,62.2,56.0,1254,4.52,4.51,2.81
34964,0.31,Premium,E,SI1,62.7,58.0,471,4.32,4.35,2.72
21366,0.42,Ideal,F,SI2,61.7,54.0,626,4.85,4.87,3.0
41462,0.41,Ideal,G,VVS1,62.1,55.0,1230,4.79,4.74,2.96
10389,0.31,Ideal,G,SI1,62.2,55.0,593,4.38,4.36,2.72
45131,0.52,Very Good,E,VS2,62.5,58.0,1653,5.13,5.18,3.22
8940,1.01,Premium,F,SI2,62.6,60.0,4497,6.37,6.35,3.98
30787,0.3,Very Good,D,VS1,62.2,58.0,742,4.25,4.27,2.65
36615,0.34,Premium,E,SI2,62.4,59.0,477,4.42,4.46,2.77
53074,0.71,Ideal,F,SI1,61.5,56.0,2610,5.69,5.76,3.52
44124,0.5,Premium,E,VS2,62.0,58.0,1559,5.07,5.09,3.15
28010,0.3,Premium,E,VS2,60.7,59.0,658,4.3,4.33,2.62
16963,1.12,Ideal,G,VS2,62.2,54.0,6774,6.65,6.62,4.13
19574,1.51,Ideal,J,VS2,61.5,56.0,8203,7.37,7.4,4.54
2673,0.71,Ideal,E,VS1,60.4,56.0,3238,5.8,5.85,3.52
50767,0.75,Ideal,J,VS1,62.9,57.0,2300,5.74,5.81,3.63
10128,1.11,Ideal,H,SI2,62.6,56.0,4719,6.58,6.65,4.14
26965,1.71,Premium,G,VS1,62.3,58.0,17041,7.61,7.65,4.75
8322,1.0,Premium,E,SI2,60.6,61.0,4390,6.44,6.39,3.89
15200,1.21,Ideal,F,SI2,61.8,57.0,6105,6.87,6.82,4.23
24781,1.71,Very Good,F,SI1,63.3,53.0,13152,7.54,7.59,4.79
2886,0.71,Very Good,G,VVS2,62.8,58.0,3281,5.69,5.75,3.59
1902,0.76,Ideal,E,VS2,61.3,56.0,3079,5.79,5.83,3.56
50172,0.71,Very Good,I,VS2,61.4,56.0,2219,5.73,5.79,3.53
25813,2.19,Very Good,I,SI1,62.6,58.0,14819,8.24,8.33,5.19
21760,1.5,Ideal,I,VS2,60.0,61.0,9827,7.39,7.42,4.44
11476,1.0,Good,D,SI1,64.8,58.0,5013,6.23,6.27,4.05
6690,1.2,Very Good,J,SI2,61.8,56.0,4102,6.81,6.85,4.22
28176,0.35,Ideal,F,VS1,62.4,55.0,665,4.49,4.52,2.81
